Algorithms,R_Squared,Slope,Intercept,P_Value,CV_R_Squared,RMSE,MAE
Al10SABI,0.6646116804933087,-33.30528897975008,-1.3517371007198777,8.616419341015831e-11,0.6766015678677066,1.2341269654777838,0.9581438072933585
Am092Bsub,0.38515666961942174,0.08461192258711847,4.920791542854935,1.5001626422468709e-5,0.387400914724261,1.7109322978041157,1.4879289458062168
Am09KBBI,0.04073218881023766,-7.405237845578687,5.876405368978565,0.20572915770871827,0.12085986256287969,2.209628748065675,1.9353352573570233
Be16FLHviolet,0.21131348791034102,-0.02557418080026347,12.184912435289345,0.0024974090509467177,0.30939346626020625,2.04514546818751,1.5428707739279173
Gi033BDA,0.1671065724362566,30.512774501779077,5.038402391549033,0.007963366382125456,0.20665868362769663,2.0072937972636082,1.7815838536062225
Go04MCI,0.6448163136527617,0.03458037471785468,4.611408912182419,2.673498456923339e-10,0.6725139595976724,1.3373365500060725,1.0399565580500922
Ku15PhyCI,0.38515666961942174,0.08461192258711847,4.920791542854935,1.5001626422468709e-5,0.4249741215442654,1.7443043067190647,1.5132661202089215
MM12NDCI,0.5110315274758706,64.42142420147094,3.981855083827189,1.516174687970266e-7,0.519821448928854,1.52581296519481,1.22014335365152
Be16NDTIblue,0.2242010346544273,26.466273401706292,7.626552674451542,0.001766903879344025,0.2708881080079411,1.961921883472468,1.5702770541831665
Be16NDTIviolet,0.016214506376858392,-5.866720691935874,10.532599052057133,0.4275611353395342,0.178080803863483,2.34716340110449,1.9839337438514606
Be16FLHBlueRedNIR,0.2444598840037785,0.04658408896138001,7.588838014541231,0.0010168713042764445,0.3033567043473424,1.9114935293149244,1.539450885022727
Be16FLHGreenRedNIR,0.5053720315533831,0.07285227399709464,17.936675906014838,1.9072829926303842e-7,0.5447367665726159,1.5871316100165798,1.265056069968055
Be16FLHVioletRedNIR,0.023638780885179282,-0.007840249664098006,8.749160285484647,0.33718005380984317,0.1263288342146891,2.280125894668534,1.9123144169909652
Wy08CI,0.38515666961942174,0.08461192258711847,4.920791542854935,1.5001626422468709e-5,0.39554020426737696,1.7095373925793145,1.4878781641717174
Da052BDA,0.5111974048337111,28.53120444630411,-24.3682331044965,1.505953051682542e-7,0.5233615328818146,1.5351083151613671,1.2498949402293684
Ku15SLH,0.38515666961942174,0.042305961293559236,4.920791542854935,1.5001626422468709e-5,0.43341169601112245,1.7320262489791467,1.5164727549644479
MM12NDCIalt,0.5110315274758706,64.42142420147094,3.981855083827189,1.516174687970266e-7,0.5224619429180043,1.5209010552263333,1.2159603138653998
TurbBe16GreenPlusRedBothOverViolet,0.020994043169776128,-0.2712449460119335,9.742782187236141,0.3660695064868541,0.14627211543545762,2.3520853991192285,1.9486010675130234
TurbBe16RedOverViolet,3.4031357674858657e-4,-0.06956767073860783,7.544509967947871,0.9088581940085692,0.13018874944714368,2.3441146182416897,2.0006575061567284
TurbBow06RedOverGreen,0.09562870155404433,15.948371571972652,-2.8606318701042794,0.04913938966687677,0.15129015752489247,2.1177960032045036,1.831706409333144
TurbChip09NIROverGreen,0.4725228837786883,-18.55734330145994,11.164898645247845,6.890324240224436e-7,0.50661723173085,1.6027591274636699,1.2909993986677328
TurbDox02NIRoverRed,0.5561773477957369,-13.00128463484224,11.552048986976954,2.2055024556649488e-8,0.5677351496315096,1.45933013540485,1.1621223218191548
TurbFrohn09GreenPlusRedBothOverBlue,0.1563897896088444,5.491649710889403,-6.516342065712128,0.010492849387039227,0.22198127984074625,2.0273832483507563,1.6339791180429464
TurbHarr92NIR,0.4565434186685884,-0.036117306401800386,10.438925919746701,1.252441988949338e-6,0.4816853645542725,1.6217950439620308,1.2692507194439056
TurbLath91RedOverBlue,0.22255117825131637,13.368925765914284,-5.781195461897398,0.001847352349802363,0.2503673836182197,1.969615822617881,1.5736427775258448
TurbMoore80Red,0.04073713529650117,-0.01009327992544357,9.907756609031665,0.20570104903231343,0.211091211822539,2.397367045179418,1.9277715535641418
