Algorithms,R_Squared,Slope,Intercept,P_Value,CV_R_Squared,RMSE,MAE
Al10SABI,0.5755224896042589,-21.885281161701204,0.7534661530468962,9.104468145853178e-9,0.6129601490296466,1.0523862776843624,0.7886027672339175
Am092Bsub,0.42782906127809633,0.06297087851657468,4.667916513911937,3.5199288093910664e-6,0.3434484007337193,1.2545734949015244,0.9985477812081636
Am09KBBI,0.007861095973309237,-2.297224537663224,5.997082748320566,0.5814624944565796,0.04465111618631177,1.538338326522794,1.1774089746610683
Be16FLHviolet,0.024398281308201136,-0.006136341182282222,7.610821653620784,0.329442423636357,0.14952892690713165,1.549998865515273,1.1260468614389674
Gi033BDA,0.06061352554210203,12.976616372830456,5.476853882892195,0.12073922391370273,0.13609683019701718,1.5629823549855597,1.1939580840553623
Go04MCI,0.6566219246643048,0.024641159286370888,4.522780102318284,1.3713554879753781e-10,0.6592169900830788,0.9584802193792352,0.7631645238600396
Ku15PhyCI,0.42782906127809633,0.06297087851657468,4.667916513911937,3.5199288093910664e-6,0.385952812564044,1.2130237886765782,0.9658565575655438
MM12NDCI,0.3364796690895594,36.912855977004924,4.537375635995886,7.037037972462313e-5,0.31845976699021944,1.2740630956368475,1.0370486379252164
Be16NDTIblue,0.2679886031308033,20.43261303766927,6.690698873447301,5.276021365605712e-4,0.3251681097655371,1.3443775475127446,1.0019917936332479
Be16NDTIviolet,0.029006950649386243,5.540976955389622,3.385898590719211,0.28704777961284383,0.18591098336788214,1.5992640135378295,1.215712101361277
Be16FLHBlueRedNIR,0.289174100429314,0.03577711045991945,6.6604240501663305,2.8796893178526124e-4,0.31118022261388345,1.3426106270202798,0.9709293342776081
Be16FLHGreenRedNIR,0.4665149842541992,0.04942675159235669,13.655086220288956,8.643193592325718e-7,0.5176998011101279,1.137369459352506,0.8683961566673654
Be16FLHVioletRedNIR,0.021866965202741354,0.005324800871354434,5.454731312140183,0.3561816237401447,0.16359815568374247,1.661193153812145,1.2365857923983874
Wy08CI,0.42782906127809633,0.06297087851657468,4.667916513911937,3.5199288093910664e-6,0.37630399879630394,1.1946566960110698,0.953773674804395
Da052BDA,0.3500900006390124,16.672756146419246,-12.067301008292537,4.6160999127352465e-5,0.3352156032752148,1.2866997267397768,1.054890216407657
Ku15SLH,0.42782906127809633,0.03148543925828734,4.667916513911937,3.5199288093910664e-6,0.3517503060180711,1.244280905933048,0.976840687773127
MM12NDCIalt,0.3364796690895594,36.912855977004924,4.537375635995886,7.037037972462313e-5,0.3282081269101366,1.3246454856521004,1.0738979482401945
TurbBe16GreenPlusRedBothOverViolet,0.013453879533975553,0.15333070718970784,5.058050162494408,0.470184683389521,0.1375853976385606,1.5649512198822697,1.179510975890328
TurbBe16RedOverViolet,0.06451435287728477,0.6763753269978582,4.063890856185545,0.1090492072262211,0.19730059317638185,1.621149907352254,1.243471810322682
TurbBow06RedOverGreen,0.30992924075239753,20.27427120160224,-6.478171573956741,1.5678419625612586e-4,0.3339911927229388,1.316997363151562,1.0386911699353905
TurbChip09NIROverGreen,0.2700544130215465,-9.90653499144678,8.501863377287469,4.976694626782895e-4,0.3537661919372926,1.280176618414294,0.9659260706550149
TurbDox02NIRoverRed,0.36506247151531535,-7.437979416940005,8.871220019117219,2.876325408998539e-5,0.4132280681092049,1.2274337187944022,0.905400113270716
TurbFrohn09GreenPlusRedBothOverBlue,0.09579965274008506,3.0350954718381864,-1.1972960494597378,0.04892672323539705,0.18755635648837857,1.5283479465557743,1.1037018394746165
TurbHarr92NIR,0.22551592739939472,-0.017924814901323943,7.996490621790665,0.0017052211525481178,0.3040926590412541,1.3297559729819604,0.9531988900773466
TurbLath91RedOverBlue,0.28442144050543106,10.672213088385265,-4.003936514554193,3.3028869150431353e-4,0.31557190356405374,1.3269312818037655,0.9844107278173098
TurbMoore80Red,0.011934356219887405,0.003857698952393689,5.442176895030392,0.4965596595613758,0.21899182447154278,1.6540995586833807,1.2444220515303495
