Algorithms,R_Squared,Slope,Intercept,P_Value,CV_R_Squared,RMSE,MAE
Al10SABI,0.4849004917603916,-30.10288704234905,-4.819091857275878,4.2859016048785207e-7,0.5473660931242996,1.7075591268477985,1.16802669622762
Am092Bsub,0.6602185082305901,0.11722205070813875,-0.2955371821093659,1.113977652688242e-10,0.5368203114078179,1.454306789922138,1.11684993279687
Am09KBBI,0.03282306517279128,-7.034161264783739,1.6484856468099622,0.25696272469197123,0.1266021911776722,2.2408961196599106,1.475659044888522
Be16FLHviolet,0.0026962184911668644,0.003056808825950932,2.4171251239994698,0.747135693745331,0.21242073964479002,2.440796006814123,1.601737443343719
Gi033BDA,0.12347059959734685,27.753600188670553,0.94366531895579,0.024275027512490215,0.16055999046528474,2.1978683921927997,1.5141456080542783
Go04MCI,0.6926222211792992,0.03792385806346044,0.05216440228507527,1.5431312535673696e-11,0.7263353301358447,1.4346890888250559,1.0471723558325807
Ku15PhyCI,0.6602185082305901,0.11722205070813875,-0.2955371821093659,1.113977652688242e-10,0.5339004402963867,1.479335314686969,1.125101567122846
MM12NDCI,0.39536573849961315,59.959583271402934,-0.08758092501088102,1.0697109624812597e-5,0.39791624714566737,1.852573355830352,1.3053330215013987
Be16NDTIblue,0.45511584008631295,39.901349040867544,3.492928519391233,1.3200496909195228e-6,0.4543832701502528,1.7763036660158884,1.2918812757614835
Be16NDTIviolet,0.2024245515307812,21.93450078932381,-9.084156835381336,0.0031633924680791914,0.28864748460734063,2.2650303978643826,1.7212590451626668
Be16FLHBlueRedNIR,0.506425302792292,0.07094864724149685,3.440511131691225,1.827888234846292e-7,0.5007357681827239,1.7604957149719935,1.2571536670239336
Be16FLHGreenRedNIR,0.24829699860751203,0.05403508771929824,10.890098416773641,9.146879504111149e-4,0.27608134041862575,2.0986982076014478,1.4237546783222423
Be16FLHVioletRedNIR,0.18727651108003296,0.02335133021241963,-1.3144641224269156,0.0047140710229821685,0.3276914611424551,2.357438052315269,1.759761078006003
Wy08CI,0.6602185082305901,0.11722205070813875,-0.2955371821093659,1.113977652688242e-10,0.5334110349412408,1.4145435077170063,1.0849592651308386
Da052BDA,0.4131945997756144,27.1428670430303,-27.126503322030146,5.850747244354879e-6,0.40876654831139375,1.8589834061489674,1.290717782582401
Ku15SLH,0.6602185082305901,0.058611025354069375,-0.2955371821093659,1.113977652688242e-10,0.5849354225966854,1.4143871520096267,1.0996058960664405
MM12NDCIalt,0.39536573849961315,59.959583271402934,-0.08758092501088102,1.0697109624812597e-5,0.38542916539257555,2.019720098275921,1.3931445878783981
TurbBe16GreenPlusRedBothOverViolet,0.20601457868417447,0.8991149200381441,-5.095479815182391,0.0028759618560307127,0.26015790912279774,2.2580243209464617,1.6720707694898667
TurbBe16RedOverViolet,0.29962913949098674,2.1843008944166007,-4.66854357497201,2.1240618837403e-4,0.29183625446560535,2.0869052955120226,1.6149550383436628
TurbBow06RedOverGreen,0.3848501462209386,33.85483170603481,-18.56829481468707,1.5153519085810589e-5,0.3645215203914807,1.9742851795238496,1.4471900856799924
TurbChip09NIROverGreen,0.16319227558716118,-11.540026168200507,5.404240782932336,0.00880924774786508,0.2812577922581801,2.007617373546668,1.2088574148434172
TurbDox02NIRoverRed,0.24248163511111015,-9.08388566255462,5.971675223846932,0.001073761852555078,0.3196847141235906,1.9414118582678634,1.1919132990458603
TurbFrohn09GreenPlusRedBothOverBlue,0.23365132555135582,7.102894593787829,-14.869383743861821,0.0013673242882730149,0.30861746847754246,2.0777219772704556,1.3281773406906512
TurbHarr92NIR,0.09079198159984868,-0.01704318165808371,4.482069664579324,0.05556101301121782,0.21235751965465072,2.129623566817936,1.3101111670741863
TurbLath91RedOverBlue,0.48804437374519555,20.94902588421714,-17.49756082052374,3.792433810116562e-7,0.4352345549971635,1.7583559554184696,1.2259670013031945
TurbMoore80Red,0.15122961060007434,0.020578234294666674,-2.3152355524173025,0.01197636463615963,0.23771972858597268,2.3130278559248163,1.7122740802548615
